,date,ticker,positive_avg,positive_std,negative_avg,negative_std,neutral_avg,neutral_std,sentiment_score_avg,sentiment_score_std,mention_count,Close,Volume,Return_1d,Return_5d,Return_tomorrow,Realized_volatility_5d,Log_Volume,Is_Return_tomorrow_positive
3,2021-01-04,GME,0.08702107239514585,0.17830629118484426,0.14963627981939417,0.24464580128616623,0.7633426573071906,0.2775497206332566,-0.06261520742424834,0.32596864574242007,67,4.3125,40090000.0,-0.084394911874217,-0.14392057932663116,0.006956570390342032,0.05222950629816537,17.506637509562566,1.0
4,2021-01-05,GME,0.07286044719211496,0.09028307068687119,0.13387231719840698,0.208283823424297,0.7932672434454334,0.21267797725419335,-0.06101187000629203,0.24048792654239698,58,4.34250020980835,19846000.0,0.006956570390342032,-0.17246302864975804,0.056994802722292626,0.041632736233445704,16.80351308384431,1.0
5,2021-01-06,GME,0.057105013852318066,0.05110939183402585,0.11591363058735923,0.18444823792691745,0.8269813557465872,0.20063508837236957,-0.05880861673504114,0.18169261764657724,45,4.590000152587891,24224800.0,0.056994802722292626,-0.05263150642854264,-0.015250581554318687,0.051146480892739404,17.00288750105308,0.0
6,2021-01-07,GME,0.07481395639479156,0.12048559852887442,0.09956590465403024,0.1650779347366962,0.825620140348162,0.18694980320031662,-0.024751948259238685,0.22041954690697205,28,4.519999980926514,24517200.0,-0.015250581554318687,-0.06126688946795966,-0.021570762792818332,0.05115209999741053,17.014885510803595,0.0
7,2021-01-08,GME,0.05965520502353196,0.04405003179967382,0.10257988546651842,0.20722499854356038,0.8377649137864307,0.20469128295162428,-0.04292468044298646,0.21878458027591724,49,4.422500133514404,25928000.0,-0.021570762792818332,-0.06104031896052331,0.12719049926924497,0.05114031491133885,17.070834062371862,1.0
10,2021-01-11,GME,0.06211518492135732,0.07603865934927587,0.0849826668389141,0.15453733988495144,0.8529021473808421,0.15936919914739658,-0.022867481917556783,0.18419770058805973,90,4.985000133514404,59632000.0,0.12719049926924497,0.15594205994536914,0.0005015159786356804,0.06206677348616827,17.903702917470696,1.0
11,2021-01-12,GME,0.10801204698889148,0.13095692269879086,0.0982494887936374,0.15089129374274785,0.7937384623548259,0.18339512541813643,0.009762558195254087,0.21494655403645097,46,4.987500190734863,28242800.0,0.0005015159786356804,0.148531940072141,0.5739347577801177,0.06275173413389808,17.15634915122316,1.0
12,2021-01-13,GME,0.12334861134275275,0.18612801299337434,0.1116489539977019,0.1602521089080972,0.7650024367696615,0.22257645421159356,0.011699657345050855,0.2666617193479905,493,7.849999904632568,578006800.0,0.5739347577801177,0.7102395737844704,0.2710191188620199,0.2539111100637678,20.175096193003412,1.0
13,2021-01-14,BB,0.16178689602642285,0.24845171916230682,0.09954944838799773,0.16942999940958622,0.7386636535727209,0.2741534007585381,0.06223744763842511,0.3251299425121228,93,9.109999656677246,65231300.0,0.2244623100286225,0.2903682337836697,0.08013178083663108,0.10065327418858212,17.993449988384054,1.0
14,2021-01-14,GME,0.11012799475242246,0.16787089075919895,0.11052375100220417,0.1612180515976934,0.779348255068596,0.21046269054943165,-0.0003957562497816985,0.2530795277414746,560,9.977499961853027,374869600.0,0.2710191188620199,1.2074115053000134,-0.110498618498443,0.24422666785668476,19.74208879279569,0.0
15,2021-01-15,AMC,0.10684131469690435,0.1257647084646429,0.04820849035273895,0.0395144350168926,0.8449501937085931,0.1316807919301756,0.05863282434416536,0.13197149325874502,33,23.299999237060547,16235640.0,0.06880734185760717,0.08878503048593811,0.3133047804052256,0.04441722678151497,16.602719445338987,1.0
16,2021-01-15,BB,0.10458674866028804,0.14100089567221769,0.07726961948951194,0.131262139119967,0.8181436364045085,0.18373204005340027,0.027317129170776076,0.20115799908668333,264,9.84000015258789,153854700.0,0.08013178083663108,0.30158733162239626,0.255081320117837,0.10108273203700593,18.851519215001616,1.0
17,2021-01-15,GME,0.08110305123751199,0.1145558720363157,0.12670217839980155,0.1892197887451494,0.7921947752789091,0.202491518693247,-0.045599127162289546,0.23843560785184,626,8.875,187465600.0,-0.110498618498443,1.0067834329147551,0.108732411559199,0.26579150855805367,19.049105925210316,1.0
24,2021-01-19,AMC,0.1604103437811136,0.25609242679131267,0.06880877997726198,0.09629469952282273,0.7707808790355921,0.25716123702279686,0.0916015638038516,0.2891022258043504,50,30.600000381469727,25627600.0,0.3133047804052256,0.390909108248624,-0.029411751872894798,0.14031420812654644,17.059180492710848,0.0
25,2021-01-19,BB,0.13553271299821107,0.17269092115181187,0.09241241150255824,0.17612701107321346,0.7720548729892536,0.23097904637541672,0.0431203014956528,0.26140856267090473,223,12.350000381469727,112483200.0,0.255081320117837,0.6143791147072597,0.03562749528684139,0.12831517043138888,18.5383144440143,1.0
26,2021-01-19,GME,0.08758955191387603,0.14000776553170047,0.10366412945221355,0.16005946182809624,0.8087463201272673,0.19856167654626547,-0.016074577538337513,0.2258664936822946,546,9.84000015258789,298887600.0,0.108732411559199,0.9739217430372928,-0.006097603525028306,0.26670354051900774,19.51557814429272,0.0
27,2021-01-20,AMC,0.10701383640989656,0.18619992432757707,0.06588042043149467,0.07817026969844124,0.8271057419478893,0.18944199280059676,0.0411334159784019,0.21371415644577663,20,29.700000762939453,18186220.0,-0.029411751872894798,0.29694328636174916,0.003366951904118398,0.14790414128585985,16.71617477739915,1.0
28,2021-01-20,BB,0.12287046712252397,0.1646641449488057,0.06810833130317225,0.1111489452520832,0.809021205175668,0.18623603657850182,0.05476213581935171,0.21036367357341784,248,12.789999961853027,130140700.0,0.03562749528684139,0.676277820448002,0.0046911977948127515,0.12112887733132188,18.684126738523442,1.0
